Date,Time,Open,High,Low,Close,Volume
2024.02.05,17:00,17604.25,17610.63,17511.25,17536.5,15060
2024.02.05,17:30,17537.13,17543.5,17464.75,17503.63,10107
2024.02.05,18:00,17503.25,17543.75,17495.44,17521.81,5742
2024.02.05,18:30,17521.32,17572.43,17520.57,17568.94,4883
2024.02.05,19:00,17569.43,17598.43,17563.73,17596.71,3950
2024.02.05,19:30,17597.95,17628.94,17597.95,17604.87,4299
2024.02.05,20:00,17605.24,17630.97,17588.63,17590.12,4333
2024.02.05,20:30,17590.49,17610.43,17587.96,17606.54,4224
2024.02.05,21:00,17607.16,17627.29,17592.72,17622.31,4290
2024.02.05,21:30,17621.68,17653.66,17619.95,17644.77,3672
2024.02.05,22:00,17644.4,17646.14,17583.22,17623.77,6413
2024.02.05,22:30,17623.39,17638.77,17603.55,17605.42,5750
2024.02.05,23:00,17605.29,17615.49,17587.16,17607.21,1368
2024.02.05,23:30,17606.84,17611.25,17599.27,17610.75,750
2024.02.06,1:00,17609.06,17618,17607.07,17612.85,657
2024.02.06,1:30,17612.73,17616.83,17601.6,17604.59,651
2024.02.06,2:00,17603.97,17613.34,17602.85,17611.36,737
2024.02.06,2:30,17610.99,17620.34,17609.39,17615.77,630
2024.02.06,3:00,17615.52,17628.1,17613.66,17619.43,802
2024.02.06,3:30,17620.05,17629.3,17616.85,17628.06,1014
2024.02.06,4:00,17628.19,17635.32,17624.84,17632.1,811
2024.02.06,4:30,17631.48,17639.46,17631.48,17632.41,685
2024.02.06,5:00,17632.66,17647.22,17631.8,17643.77,744
2024.02.06,5:30,17644.39,17646.39,17635.99,17638.74,784
2024.02.06,6:00,17638,17644.64,17636.39,17643.77,531
2024.02.06,6:30,17643.03,17651.15,17641.79,17648.06,605
2024.02.06,7:00,17648.18,17660.73,17646.98,17652.54,1000
2024.02.06,7:30,17652.79,17656.02,17644.62,17647.24,797
2024.02.06,8:00,17646.49,17648.98,17640.81,17641.34,739
2024.02.06,8:30,17641.46,17650.3,17639.85,17646.24,707
2024.02.06,9:00,17645.87,17671.22,17643.39,17667.99,1105
2024.02.06,9:30,17668.74,17676.87,17664.53,17671.66,922
2024.02.06,10:00,17672.28,17676.8,17657.4,17665.63,1398
2024.02.06,10:30,17666.5,17668.38,17650.63,17653.33,1228
2024.02.06,11:00,17652.33,17666.51,17646.82,17654.56,1287
2024.02.06,11:30,17653.81,17656.69,17633.85,17639.2,1161
2024.02.06,12:00,17639.69,17642.72,17627.03,17635.18,1260
2024.02.06,12:30,17634.56,17646.54,17625.26,17646.17,1048
2024.02.06,13:00,17646.42,17650.2,17633.09,17636.97,1051
2024.02.06,13:30,17636.84,17638.58,17585.57,17603.13,1573
2024.02.06,14:00,17602.5,17610.34,17581.2,17586.55,1356
2024.02.06,14:30,17587.17,17617.75,17586.55,17615.3,1279
